subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
lightftp,chatafl_opt,1,out-lightftp-chatafl_opt_1.tar.gz,1464,1464,171,71,24,210,1780140206,1780228079,completed,completed,0,
lightftp,chatafl_opt,2,out-lightftp-chatafl_opt_2.tar.gz,1466,1466,171,71,23,210,1780142254,1780230238,completed,,,
lightftp,chatafl_opt,3,out-lightftp-chatafl_opt_3.tar.gz,1478,1478,171,71,24,212,1780143473,1780232187,completed,,,
lightftp,chatafl_opt,4,out-lightftp-chatafl_opt_4.tar.gz,1478,1478,171,72,24,211,1780144797,1780233509,completed,,,
lightftp,chatafl_opt,5,out-lightftp-chatafl_opt_5.tar.gz,1466,1466,171,71,24,204,1780146970,1780234979,completed,,,
lightftp,chatafl_opt,6,out-lightftp-chatafl_opt_6.tar.gz,1472,1472,171,71,24,209,1780146993,1780235324,completed,,,
lightftp,chatafl_opt,7,out-lightftp-chatafl_opt_7.tar.gz,1478,1478,171,71,24,180,1780148021,1780236735,completed,,,
lightftp,chatafl_opt,8,out-lightftp-chatafl_opt_8.tar.gz,1466,1466,171,71,23,184,1780477902,1780565906,completed,,,
lightftp,chatafl_opt,9,out-lightftp-chatafl_opt_9.tar.gz,1447,1447,171,71,24,213,1780603764,1780690619,completed,,,
lightftp,chatafl_opt,10,out-lightftp-chatafl_opt_10.tar.gz,1466,1466,171,71,23,196,1780604568,1780692551,completed,,,
